episode,max_reward,exploration_rate,max_angle,scores
1,4114.805984,0.858064034,1.644527761,173
2,1104.126092,0.760227847,1.411776336,122
3,9384.019817,0.62298262,2.434398564,200
4,9898.00633,0.544817882,3.127018905,134
5,1003.00736,0.487064004,1.184019717,113
6,7018.67596,0.454119562,1.89615074,71
7,3761.317145,0.420869366,1.605160085,77
8,1346.182296,0.386557243,1.284185735,86
9,9656.895158,0.353624435,2.167535631,90
10,3164.469813,0.325119694,1.651326092,85
11,9835.3818,0.289204736,2.729144575,118
12,9180.465101,0.24691788,3.105528725,159
13,9994.902913,0.202341375,3.130347641,200
14,9301.288259,0.176776938,3.124515379,135
15,8875.681432,0.153671722,3.111249296,141
16,9873.200696,0.128989512,3.120787744,176
17,29676.23429,0.112467304,3.129946447,138
18,28839.57031,0.099345186,3.138437588,125
19,22266.16178,0.085672035,3.139395563,149
20,14303.72131,0.072055734,3.134079003,174
21,9933.672538,0.059402917,3.139242975,194
22,56013.63004,0.050464079,3.131923183,164
23,25858.1453,0.041353713,3.129271483,200
24,9660.294846,0.034990572,3.098898525,167
25,78860.75095,0.028673665,3.138628715,200
26,88191.91565,0.023900229,3.13851068,182
27,94893.38403,0.02008154,3.128247539,175
28,9759.262226,0.017093879,3.11613236,162
29,9974.907227,0.014007892,3.135066485,200
30,13709.45464,0.011876223,3.082013106,165
31,11177.63801,0.01,3.132018502,200
32,9967.997757,0.01,3.114708877,200
33,9992.457646,0.01,3.111482617,102
34,19495.35019,0.01,3.075320298,74
35,23393.90784,0.01,3.107685564,200
36,9687.086464,0.01,2.208662363,74
37,5415.402922,0.01,1.910940496,64
38,291605.1643,0.01,3.130989655,200
39,7067.617168,0.01,2.041835634,62
40,9461.577637,0.01,3.132379091,107
41,9915.144941,0.01,3.102690673,104
42,9999.783556,0.01,3.138142562,96
43,9107.638285,0.01,3.118810991,149
44,5882.410724,0.01,2.041835634,66
45,9927.553069,0.01,3.118636934,137
46,9949.227802,0.01,1.800233038,96
47,9973.291026,0.01,3.140555708,126
48,5882.410724,0.01,2.041835817,80
49,9817.465716,0.01,2.85599673,140
50,9954.186307,0.01,3.134059405,161
51,9998.486154,0.01,3.140999643,140
52,21295.04218,0.01,3.103192306,138
53,5100.125773,0.01,1.841617433,106
54,9489.934632,0.01,3.094099371,108
55,9949.642106,0.01,3.079039933,134
56,9174.63272,0.01,3.111714641,117
57,9832.458606,0.01,3.112112371,143
58,8940.945112,0.01,2.041835817,84
59,9984.370425,0.01,2.049521295,87
60,4081.709635,0.01,1.685555728,101
61,17258.22202,0.01,3.13928597,195
62,9832.458606,0.01,3.138873539,141
63,9993.052578,0.01,3.133482782,158
64,9808.331294,0.01,3.099725095,100
65,7067.617168,0.01,2.041835634,62
66,9846.116061,0.01,3.088304198,102
67,43554.02504,0.01,3.078488072,200
68,34272.25803,0.01,3.079560606,125
69,20516.51344,0.01,3.122714321,200
70,23568.32108,0.01,3.127147651,113
71,9999.829448,0.01,3.140932536,197
72,15000,0.01,3.061946498,51
73,9619.62089,0.01,3.097344248,119
74,9932.359327,0.01,2.787248937,102
75,9983.145534,0.01,3.100648245,183
76,107828.4241,0.01,3.133172059,133
77,49534.79627,0.01,3.1012772,105
78,9962.332474,0.01,3.117776418,141
79,15938.4874,0.01,3.105879807,193
80,9856.518107,0.01,3.134363977,177
81,9974.434284,0.01,2.838981477,94
82,82406.25134,0.01,3.131626105,139
83,110931.7085,0.01,3.114875642,200
84,54672.61567,0.01,3.056438899,156
85,120300.0375,0.01,3.109588122,143
86,8938.779551,0.01,3.139440862,95
87,8624.133523,0.01,2.308646528,80
88,9606.6194,0.01,3.006993251,74
89,7067.617168,0.01,2.041835634,62
90,9508.587578,0.01,2.041835634,78
91,16215.58628,0.01,3.119367799,162
92,9931.651351,0.01,3.132873034,200
93,9882.994153,0.01,3.130782104,92
94,9986.047108,0.01,3.136090255,128
95,9945.859148,0.01,3.133071748,145
96,9919.302323,0.01,3.111617414,136
97,27090.68831,0.01,3.086056081,147
98,9981.96898,0.01,3.128283477,158
99,9968.916551,0.01,3.137891075,106
100,9866.931904,0.01,3.125714278,193
